metric_id,category,subcategory,metric_name,extension,importance
1,System,Basic,CPU,,high
2,System,Basic,LA,,high
3,System,Basic,Memory usage,,medium
4,System,Basic,Memory errors,,medium
5,System,Basic,Swap usage,,unspecified
6,System,Basic,Swap I/O,,high
7,System,Disk,Read and write latency,,high
8,System,Disk,IOPS (read and write),,medium
9,System,Disk,Throughput (read and write),,medium
10,System,Disk,% util / io usage,,unspecified
11,System,Disk,Disk space,,high
12,System,Disk,Page cache hit/miss,,high
13,System,Network,Bandwidth,,medium
14,System,Network,"Errors, dropped packets",,medium
15,System,Network,Packets/second,,unspecified
16,System,Network,Connections (in / out; per status / per IP),,unspecified
17,System,Process analysis,Top-N by CPU load,,unspecified
18,System,Process analysis,Top-N by RAM load,,unspecified
19,System,Process analysis,Top-N by disk reads (IOPS and throughput),,unspecified
20,System,Process analysis,Top-N by disk writes (IOPS and throughput),,unspecified
21,System,Process analysis,Top-N by swap (amount + rates),,unspecified
22,System,Process analysis,Top-N by process count and by threads count,,unspecified
23,System,Process analysis,Top-N by open files,,unspecified
24,Postgresql,Main,Average query time,,high
25,Postgresql,Main,Connections (by state in pg_stat_activity),,high
26,Postgresql,Main,Top-N transactions by age,,unspecified
27,Postgresql,Main,Total query time (by query group from pg_stat_statements),,medium
28,Postgresql,Main,Buffers hits and reads (by query group from pg_stat_statements),,unspecified
29,Postgresql,Main,"Buffers written, dirtied (by query group from pg_stat_statements)",,unspecified
30,Postgresql,Main,Transactions (committed vs rolled back),,high
31,Postgresql,Main,Replication lags,,high
32,Postgresql,Autovacuum,Workers (by mode: main vs tx ID wraparound),,unspecified
33,Postgresql,Autovacuum,Top-N tables (and DBs) by autovacuum pending work,,unspecified
34,Postgresql,Autovacuum,"TXs left (tx ID wraparound), database transaction age",,unspecified
35,Postgresql,Autovacuum,Autovacuum queue and progress https://gitlab.com/snippets/1889668,,medium
36,Postgresql,Bloat (estimated),Table bloat (estimated),,unspecified
37,Postgresql,Bloat (estimated),Index bloat (estimated),,unspecified
38,Postgresql,"Checkpoints, bgwriter",Disk writes (by processes),,unspecified
39,Postgresql,"Checkpoints, bgwriter",Pages dirtied by queries,,unspecified
40,Postgresql,"Checkpoints, bgwriter",Checkpoints issued,,medium
41,Postgresql,Connections,# of connections by state + max_connections,,medium
42,Postgresql,Connections,Connections by client address (active + all),,medium
43,Postgresql,Connections,Connections by app (active + all),,medium
44,Postgresql,Connections,Connections by DB role,,medium
45,Postgresql,Connections,Idle in transaction connections,,high
46,Postgresql,"Locks, waits",Total number of locks acquired,,unspecified
47,Postgresql,"Locks, waits",Locks by time,,unspecified
48,Postgresql,"Locks, waits",Queries blocked longer than X seconds,,medium
49,Postgresql,"Locks, waits",Deadlocks,,medium
50,Postgresql,"Locks, waits",Types of waits,,unspecified
51,Postgresql,Replication Destination (follower),Replication lag in bytes (for followers of the current node),,high
52,Postgresql,Replication Destination (follower),Replication lag in bytes (for the current node compared to the leader),,high
53,Postgresql,Replication Destination (follower),Replication lag in seconds (for the current node compared to the leader),,high
54,Postgresql,Replication Origin (primary or replica with cascaded replication),,,unspecified
55,Postgresql,Replication Origin (primary or replica with cascaded replication),Unused replication slots / replication statuses,,high
56,Postgresql,Replication Origin (primary or replica with cascaded replication),Amount of bytes for each replication slot,,high
57,Postgresql,Replication Origin (primary or replica with cascaded replication),Replication lag phases (1 graph for each follower),,unspecified
58,Postgresql,Tables,"Table sizes (total, heap, TOAST, indexes)",,unspecified
59,Postgresql,Tables,Estimated rows,,unspecified
60,Postgresql,Tables,Top-N by seqscan,,unspecified
61,Postgresql,Tables,Top-N by blocks read,,unspecified
62,Postgresql,Tables,Top-N by INSERT,,unspecified
63,Postgresql,Tables,Top-N by UPDATE,,unspecified
64,Postgresql,Tables,Top-N by DELETE,,unspecified
65,Postgresql,Tables,"Top-N by size (tuples, bytes)",,unspecified
66,Postgresql,Tables,Top-N by bloat (estimated!),,unspecified
67,Postgresql,Tables,Top-N by n_dead_tup,,unspecified
68,Postgresql,Indexes,Index sizes,,unspecified
69,Postgresql,Indexes,Index usage,,unspecified
70,Postgresql,Indexes,Not valid indexes,,unspecified
71,Postgresql,Indexes,Unused indexes,,medium
72,Postgresql,Indexes,Redundant indexes,,medium
73,Postgresql,Functions,Function usage (calls per second),,unspecified
74,Postgresql,Functions,"Average time of execution (total, self)",,unspecified
75,Postgresql,WAL,pg_xlog/pg_wal size,,high
76,Postgresql,WAL,Archiver statuses (fail/success),,high
77,Postgresql,WAL,"WAL write rates, B/s",,unspecified
78,Postgresql,WAL,"WAL files count (total, unarchived)",,unspecified
79,Postgresql,WAL,WAL directory size,,unspecified
80,Postgresql,WAL,"WAL files which ready to be archived (count of files in pg_xlog/pg_wal/archive_status which end in "".ready"")",,unspecified
81,Postgresql,Transactions,Transactions per second (TPS),,unspecified
82,Postgresql,Transactions,Long-running transactions / max transaction age,,high
83,Postgresql,qan,Top-N by total_time,pg_stat_statements,high
84,Postgresql,qan,Top-N by mean_time (avg time),pg_stat_statements,high
85,Postgresql,qan,Top-N by calls,pg_stat_statements,high
86,Postgresql,qan,Top-N by CPU usage,pg_stat_kcache or Math,medium
87,Postgresql,qan,Top-N by I/O time,pg_stat_statements,medium
88,Postgresql,qan,Top-N by read blocks,pg_stat_statements,medium
89,Postgresql,qan,Top-N by hit blocks,pg_stat_statements,medium
90,Postgresql,qan,Top-N by dirtied blocks,pg_stat_statements,medium
91,Postgresql,qan,Top-N by read bytes (FS),pg_stat_kcache,medium
92,Postgresql,qan,Top-N by hit bytes (FS),pg_stat_kcache,medium
93,Postgresql,qan,Top-N by blocks bytes (translaction blocks -> bytes),,medium
94,Postgresql,qan,Top-N by rows,pg_stat_statements,medium
95,Postgresql,qan,Notice,,medium
96,Postgresql,qan,mean_time,,unspecified
97,Postgresql,qan,total_time (?),,medium
98,Postgresql,qan,calls,,medium
99,Postgresql,qan,block operations,,unspecified
100,Postgresql,qan,rows returned,,unspecified
101,Postgresql,qan,"query stages: CPU, I/O read, I/O write",,unspecified
102,Postgresql,qan,"pg_stat_kcache, ",,unspecified
103,Postgresql,qan,pg_wait_sampling,,unspecified
104,Postgresql,qan,"pg_qualstats,",,unspecified
105,Postgresql,qan,Queries and types of waits (pg_stat_statements + pg_stat_activity),,uncertain
106,Postgresql,qan,"Critical events: restarts, crashes",,uncertain
107,Postgresql,qan,Autovacuum activity,,uncertain
108,Postgresql,qan,Checkpointer activity,,uncertain
109,Postgresql,qan,Locks (>deadlock_timeout),,uncertain
110,Postgresql,qan,Deadlocks,,uncertain
111,Postgresql,qan,Query examples,,uncertain
112,Postgresql,qan,Plan examples,,uncertain
113,Postgresql,qan,"Connections, disconnections",,uncertain
114,Postgresql,pgBouncer monitoring,From pgbouncer log:,,uncertain
115,Postgresql,pgBouncer monitoring,Average query time,,uncertain
116,Postgresql,pgBouncer monitoring,Average transaction time,,uncertain
117,Postgresql,pgBouncer monitoring,Queries per second (QPS),,uncertain
118,Postgresql,pgBouncer monitoring,Transactions per second (TPS),,uncertain
119,Postgresql,pgBouncer monitoring,"Traffic in and out, B/s",,uncertain
120,Postgresql,pgBouncer monitoring,Number of connections by client addr,,uncertain
121,Postgresql,pgBouncer monitoring,"Connections between pgBouncer and Postgres, by state",,uncertain
122,Postgresql,pgBouncer monitoring,Utilization for each pool,,uncertain
123,Postgresql,pgBouncer monitoring,Waiting clients and waiting time,,unspecified
124,Postgresql,Backups,Time from last successful time (graph),,unspecified
125,Postgresql,Backups,Last backup size (graph),,unspecified